date,close
2023-01-02,15005
2023-01-03,15010
2023-01-04,15015
2023-01-05,15020
2023-01-06,15025
2023-01-09,15040
2023-01-10,15045
2023-01-11,15050
2023-01-12,15055
2023-01-13,15060
2023-01-16,15075
2023-01-17,15080
2023-01-18,15085
2023-01-19,15090
2023-01-20,15095
2023-01-23,15110
2023-01-24,15115
2023-01-25,15120
2023-01-26,15125
2023-01-27,15130
2023-01-30,15145
2023-01-31,15150
2023-02-01,15155
2023-02-02,15160
2023-02-03,15165
2023-02-06,15180
2023-02-07,15185
2023-02-08,15190
2023-02-09,15195
2023-02-10,15200
2023-02-13,15215
2023-02-14,15220
2023-02-15,15225
2023-02-16,15230
2023-02-17,15235
2023-02-20,15250
2023-02-21,15255
2023-02-22,15260
2023-02-23,15265
2023-02-24,15270
2023-02-27,15285
2023-02-28,15290
2023-03-01,15295
2023-03-02,15300
2023-03-03,15305
2023-03-06,15320
2023-03-07,15325
2023-03-08,15330
2023-03-09,15335
2023-03-10,15340
2023-03-13,15355
2023-03-14,15360
2023-03-15,15365
2023-03-16,15370
2023-03-17,15375
2023-03-20,15390
2023-03-21,15395
2023-03-22,15400
2023-03-23,15405
2023-03-24,15410
2023-03-27,15425
2023-03-28,15430
2023-03-29,15435
2023-03-30,15440
2023-03-31,15445
2023-04-03,15460
2023-04-04,15465
2023-04-05,15470
2023-04-06,15475
2023-04-07,15480
2023-04-10,15495
2023-04-11,15500
2023-04-12,15505
2023-04-13,15510
2023-04-14,15515
2023-04-17,15530
2023-04-18,15535
2023-04-19,15540
2023-04-20,15545
2023-04-21,15550
2023-04-24,15565
2023-04-25,15570
2023-04-26,15575
2023-04-27,15580
2023-04-28,15585
2023-05-01,15600
2023-05-02,15605
2023-05-03,15610
2023-05-04,15615
2023-05-05,15620
2023-05-08,15635
2023-05-09,15640
2023-05-10,15645
2023-05-11,15650
2023-05-12,15655
2023-05-15,15670
2023-05-16,15675
2023-05-17,15680
2023-05-18,15685
2023-05-19,15690
2023-05-22,15705
2023-05-23,15710
2023-05-24,15715
2023-05-25,15720
2023-05-26,15725
2023-05-29,15740
2023-05-30,15745
2023-05-31,15750
2023-06-01,15755
2023-06-02,15760
2023-06-05,15775
2023-06-06,15780
2023-06-07,15785
2023-06-08,15790
2023-06-09,15795
2023-06-12,15810
2023-06-13,15815
2023-06-14,15820
2023-06-15,15825
2023-06-16,15830
2023-06-19,15845
2023-06-20,15850
2023-06-21,15855
2023-06-22,15860
2023-06-23,15865
2023-06-26,15880
2023-06-27,15885
2023-06-28,15890
2023-06-29,15895
2023-06-30,15900
2023-07-03,15915
2023-07-04,15920
2023-07-05,15925
2023-07-06,15930
2023-07-07,15935
2023-07-10,15950
2023-07-11,15955
2023-07-12,15960
2023-07-13,15965
2023-07-14,15970
2023-07-17,15985
2023-07-18,15990
2023-07-19,15995
2023-07-20,16000
2023-07-21,16005
2023-07-24,16020
2023-07-25,16025
2023-07-26,16030
2023-07-27,16035
2023-07-28,16040
2023-07-31,16055
2023-08-01,16060
2023-08-02,16065
2023-08-03,16070
2023-08-04,16075
2023-08-07,16090
2023-08-08,16095
2023-08-09,16100
2023-08-10,16105
2023-08-11,16110
2023-08-14,16125
2023-08-15,16130
2023-08-16,16135
2023-08-17,16140
2023-08-18,16145
2023-08-21,16160
2023-08-22,16165
2023-08-23,16170
2023-08-24,16175
2023-08-25,16180
2023-08-28,16195
2023-08-29,16200
2023-08-30,16205
2023-08-31,16210
2023-09-01,16215
2023-09-04,16230
2023-09-05,16235
2023-09-06,16240
2023-09-07,16245
2023-09-08,16250
2023-09-11,16265
2023-09-12,16270
2023-09-13,16275
2023-09-14,16280
2023-09-15,16285
2023-09-18,16300
2023-09-19,16305
2023-09-20,16310
2023-09-21,16315
2023-09-22,16320
2023-09-25,16335
2023-09-26,16340
2023-09-27,16345
2023-09-28,16350
2023-09-29,16355
2023-10-02,16370
2023-10-03,16375
2023-10-04,16380
2023-10-05,16385
2023-10-06,16390
2023-10-09,16405
2023-10-10,16410
2023-10-11,16415
2023-10-12,16420
2023-10-13,16425
2023-10-16,16440
2023-10-17,16445
2023-10-18,16450
2023-10-19,16455
2023-10-20,16460
2023-10-23,16475
2023-10-24,16480
2023-10-25,16485
2023-10-26,16490
2023-10-27,16495
2023-10-30,16510
2023-10-31,16515
2023-11-01,16520
2023-11-02,16525
2023-11-03,16530
2023-11-06,16545
2023-11-07,16550
2023-11-08,16555
