date,action,strike,expiry,premium,qty,meta
2024-12-31,SELL_CE,24000.0,2025-01-28,298.95,50,"{'why': 'entry', 'delta': 0.36232137565843014, 'spot': 23668.8, 'relax': 'relax_last'}"
2024-12-31,SELL_PE,23300.0,2025-01-28,197.7,50,"{'why': 'entry', 'delta': -0.3627153157267621, 'spot': 23668.8, 'relax': 'relax_last'}"
2025-02-25,SELL_CE,22850.0,2025-03-25,4.2,50,"{'why': 'entry', 'delta': 0.33151521401021977, 'spot': 22526.3, 'relax': 'base'}"
2025-02-25,SELL_PE,22200.0,2025-03-25,6.05,50,"{'why': 'entry', 'delta': -0.34050570421387694, 'spot': 22526.3, 'relax': 'base'}"
2025-04-29,SELL_CE,24650.0,2025-05-27,4.4,50,"{'why': 'entry', 'delta': 0.38563065371335103, 'spot': 24322.45, 'relax': 'base'}"
2025-04-29,SELL_PE,24000.0,2025-05-27,12.3,50,"{'why': 'entry', 'delta': -0.3955407376868447, 'spot': 24322.45, 'relax': 'base'}"
2025-06-24,SELL_CE,25550.0,2025-07-29,23.3,50,"{'why': 'entry', 'delta': 0.40576619836487765, 'spot': 24901.809355724185, 'relax': 'relax_last'}"
2025-06-24,SELL_PE,24750.0,2025-07-29,19.2,50,"{'why': 'entry', 'delta': -0.38822084012120506, 'spot': 24901.809355724185, 'relax': 'relax_last'}"
2025-07-29,SELL_CE,25150.0,2025-08-26,11.2,50,"{'why': 'entry', 'delta': 0.36658220348119586, 'spot': 24995.15862004715, 'relax': 'relax_last'}"
2025-07-29,SELL_PE,24350.0,2025-08-26,13.9,50,"{'why': 'entry', 'delta': -0.36371765524289823, 'spot': 24995.15862004715, 'relax': 'relax_last'}"
2025-08-26,SELL_CE,25200.0,2025-09-30,6.8,50,"{'why': 'entry', 'delta': 0.3448194917626285, 'spot': 24889.151600261215, 'relax': 'base'}"
2025-08-26,SELL_PE,24600.0,2025-09-30,7.55,50,"{'why': 'entry', 'delta': -0.34975021502738146, 'spot': 24889.151600261215, 'relax': 'base'}"
2024-12-31,BUY_TO_CLOSE,24000.0,2025-01-28,358.73999999999995,50,"{'leg': 'CE', 'why': 'roll_close', 'spot': 24893.847668905175}"
2024-12-31,ROLL_CE,24200.0,2025-01-28,179.36999999999998,50,"{'why': 'roll', 'leg': 'CE', 'prev_strike': 24000.0, 'new_strike': 24200.0, 'spot': 24893.847668905175}"
2025-01-13,BUY_TO_CLOSE,24200.0,2025-01-28,403.58250000000004,50,"{'leg': 'CE', 'why': 'time_exit', 'spot': 24883.296789015905, 'dte': 15}"
2025-01-13,BUY_TO_CLOSE,23300.0,2025-01-28,370.85,50,"{'leg': 'PE', 'why': 'time_exit', 'spot': 24883.296789015905, 'dte': 15}"
2025-02-25,BUY_TO_CLOSE,22850.0,2025-03-25,5.04,50,"{'leg': 'CE', 'why': 'roll_close', 'spot': 24904.37262224663}"
2025-02-25,ROLL_CE,23050.0,2025-03-25,2.52,50,"{'why': 'roll', 'leg': 'CE', 'prev_strike': 22850.0, 'new_strike': 23050.0, 'spot': 24904.37262224663}"
2025-03-10,BUY_TO_CLOSE,23050.0,2025-03-25,5.670000000000001,50,"{'leg': 'CE', 'why': 'time_exit', 'spot': 24965.855582184315, 'dte': 15}"
2025-03-10,BUY_TO_CLOSE,22200.0,2025-03-25,134.8,50,"{'leg': 'PE', 'why': 'time_exit', 'spot': 24965.855582184315, 'dte': 15}"
2025-04-29,BUY_TO_CLOSE,24650.0,2025-05-27,5.28,50,"{'leg': 'CE', 'why': 'roll_close', 'spot': 24912.403514541817}"
2025-04-29,ROLL_CE,24850.0,2025-05-27,2.64,50,"{'why': 'roll', 'leg': 'CE', 'prev_strike': 24650.0, 'new_strike': 24850.0, 'spot': 24912.403514541817}"
2025-05-02,BUY_TO_CLOSE,24850.0,2025-05-27,307.0,50,"{'leg': 'CE', 'why': 'SL', 'spot': 24911.535114938542}"
2025-05-02,BUY_TO_CLOSE,24000.0,2025-05-27,286.0,50,"{'leg': 'PE', 'why': 'SL', 'spot': 24911.535114938542}"
2025-07-14,BUY_TO_CLOSE,25550.0,2025-07-29,15.145000000000001,50,"{'leg': 'CE', 'why': 'time_exit', 'spot': 24998.61282042613, 'dte': 15}"
2025-07-14,BUY_TO_CLOSE,24750.0,2025-07-29,97.35,50,"{'leg': 'PE', 'why': 'time_exit', 'spot': 24998.61282042613, 'dte': 15}"
2025-08-11,BUY_TO_CLOSE,25150.0,2025-08-26,7.279999999999999,50,"{'leg': 'CE', 'why': 'time_exit', 'spot': 25009.199211668787, 'dte': 15}"
2025-08-11,BUY_TO_CLOSE,24350.0,2025-08-26,125.9,50,"{'leg': 'PE', 'why': 'time_exit', 'spot': 25009.199211668787, 'dte': 15}"
2025-09-04,BUY_TO_CLOSE,25200.0,2025-09-30,164.2,50,"{'leg': 'CE', 'why': 'SL', 'spot': 24983.276299638896}"
2025-09-04,BUY_TO_CLOSE,24600.0,2025-09-30,125.4,50,"{'leg': 'PE', 'why': 'SL', 'spot': 24983.276299638896}"
