timestamp,pnl,long_call,short_call,long_put,short_put,long_call_ltp,short_call_ltp,long_put_ltp,short_put_ltp,hedge_call,hedge_put,hedge_call_ltp,hedge_put_ltp,long_call_entry,short_call_entry,long_put_entry,short_put_entry,hedge_call_qty,hedge_put_qty,qty_long,qty_short,net_credit,shift_points
2024-11-22 15:16:00,0.0,24250,24050,23450,23650,60.2,117.15,94.0,101.1,24850,22850,60.2,79.55,60.2,117.15,94.0,101.1,2,2,1,3,11052.5,0
2024-11-23 15:16:00,11052.5,24250,24050,23450,23650,0.0,0.0,0.0,0.0,24850,22850,0.0,0.0,60.2,117.15,94.0,101.1,2,2,1,3,11052.5,0
2024-11-24 15:16:00,11052.5,24250,24050,23450,23650,0.0,0.0,0.0,0.0,24850,22850,0.0,0.0,60.2,117.15,94.0,101.1,2,2,1,3,11052.5,0
2024-11-25 15:16:00,-22105.0,24250,24050,23450,23650,160.2,300.75,45.9,45.9,24850,22850,39.45,45.9,60.2,117.15,94.0,101.1,2,2,1,3,11052.5,0
2024-11-26 15:16:00,-18005.0,24250,24050,23450,23650,114.95,251.6,26.9,26.9,24850,22850,29.35,26.9,60.2,117.15,94.0,101.1,2,2,1,3,11052.5,0
2024-12-27 15:16:00,0.0,24250,24050,23450,23650,307.0,347.45,194.1,235.1,24850,22850,307.0,194.1,307.0,347.45,194.1,235.1,2,2,1,3,12217.5,0
2024-12-28 15:16:00,12217.5,24250,24050,23450,23650,0.0,0.0,0.0,0.0,24850,22850,0.0,0.0,307.0,347.45,194.1,235.1,2,2,1,3,12217.5,0
2024-12-29 15:16:00,12217.5,24250,24050,23450,23650,0.0,0.0,0.0,0.0,24850,22850,0.0,0.0,307.0,347.45,194.1,235.1,2,2,1,3,12217.5,0
2024-12-30 15:16:00,-4602.500000000002,24250,24050,23450,23650,287.25,304.9,225.65,296.1,24850,22850,287.25,189.6,307.0,347.45,194.1,235.1,2,2,1,3,12217.5,0
2024-12-31 15:16:00,-539.9999999999993,24250,24050,23450,23650,298.95,298.95,234.75,300.0,24850,22850,298.95,205.05,307.0,347.45,194.1,235.1,2,2,1,3,12217.5,0
2025-01-24 15:16:00,0.0,23500,23300,22700,22900,54.75,86.6,54.8,84.0,24100,22100,52.6,54.8,54.75,86.6,54.8,84.0,2,2,1,3,9372.5,0
2025-01-25 15:16:00,9372.5,23500,23300,22700,22900,0.0,0.0,0.0,0.0,24100,22100,0.0,0.0,54.75,86.6,54.8,84.0,2,2,1,3,9372.5,0
2025-01-26 15:16:00,9372.5,23500,23300,22700,22900,0.0,0.0,0.0,0.0,24100,22100,0.0,0.0,54.75,86.6,54.8,84.0,2,2,1,3,9372.5,0
2025-01-27 15:16:00,-9430.0,23500,23300,22700,22900,55.65,55.65,99.95,190.0,24100,22100,55.65,47.0,54.75,86.6,54.8,84.0,2,2,1,3,9372.5,0
2025-01-28 15:16:00,1730.0,23500,23300,22700,22900,30.95,29.5,43.0,100.0,24100,22100,30.95,49.9,54.75,86.6,54.8,84.0,2,2,1,3,9372.5,0
2025-02-21 15:16:00,0.0,23150,22950,22350,22550,53.85,76.0,37.5,54.7,23750,21750,46.05,37.5,53.85,76.0,37.5,54.7,2,2,1,3,6682.5,0
2025-02-22 15:16:00,6682.5,23150,22950,22350,22550,0.0,0.0,0.0,0.0,23750,21750,0.0,0.0,53.85,76.0,37.5,54.7,2,2,1,3,6682.5,0
2025-02-23 15:16:00,6682.5,23150,22950,22350,22550,0.0,0.0,0.0,0.0,23750,21750,0.0,0.0,53.85,76.0,37.5,54.7,2,2,1,3,6682.5,0
2025-02-24 15:16:00,-1532.499999999999,23150,22950,22350,22550,30.3,30.3,25.8,75.0,23750,21750,30.3,17.45,53.85,76.0,37.5,54.7,2,2,1,3,6682.5,0
2025-02-25 15:16:00,742.5,23150,22950,22350,22550,4.65,4.65,13.1,48.0,23750,21750,4.65,6.05,53.85,76.0,37.5,54.7,2,2,1,3,6682.5,0
2025-03-21 15:16:00,0.0,23750,23550,22950,23150,29.7,53.5,31.15,46.55,24350,22350,29.7,31.9,29.7,53.5,31.15,46.55,2,2,1,3,5805.0,0
2025-03-22 15:16:00,5805.0,23750,23550,22950,23150,0.0,0.0,0.0,0.0,24350,22350,0.0,0.0,29.7,53.5,31.15,46.55,2,2,1,3,5805.0,0
2025-03-23 15:16:00,5805.0,23750,23550,22950,23150,0.0,0.0,0.0,0.0,24350,22350,0.0,0.0,29.7,53.5,31.15,46.55,2,2,1,3,5805.0,0
2025-03-24 15:16:00,-19922.5,23750,23550,22950,23150,117.65,236.6,32.2,32.2,24350,22350,38.8,32.2,29.7,53.5,31.15,46.55,2,2,1,3,5805.0,0
2025-03-25 15:16:00,-14302.5,23750,23550,22950,23150,73.3,186.25,20.0,20.0,24350,22350,41.65,20.0,29.7,53.5,31.15,46.55,2,2,1,3,5805.0,0
2025-04-25 15:16:00,0.0,24400,24200,23600,23800,57.6,82.25,79.65,95.0,25000,23000,59.1,81.15,57.6,82.25,79.65,95.0,2,2,1,3,5699.999999999999,0
2025-04-26 15:16:00,5699.999999999999,24400,24200,23600,23800,0.0,0.0,0.0,0.0,25000,23000,0.0,0.0,57.6,82.25,79.65,95.0,2,2,1,3,5699.999999999999,0
2025-04-27 15:16:00,5699.999999999999,24400,24200,23600,23800,0.0,0.0,0.0,0.0,25000,23000,0.0,0.0,57.6,82.25,79.65,95.0,2,2,1,3,5699.999999999999,0
2025-04-28 15:16:00,-18252.5,24400,24200,23600,23800,72.4,195.35,42.75,42.75,25000,23000,17.3,42.75,57.6,82.25,79.65,95.0,2,2,1,3,5699.999999999999,0
2025-04-29 15:16:00,-13302.5,24400,24200,23600,23800,25.7,141.25,12.3,12.3,25000,23000,9.0,12.3,57.6,82.25,79.65,95.0,2,2,1,3,5699.999999999999,0
2025-05-23 15:16:00,0.0,25250,25050,24450,24650,93.3,126.2,80.25,110.1,25850,23850,93.3,78.65,93.3,126.2,80.25,110.1,2,2,1,3,9572.5,0
2025-05-24 15:16:00,9572.5,25250,25050,24450,24650,0.0,0.0,0.0,0.0,25850,23850,0.0,0.0,93.3,126.2,80.25,110.1,2,2,1,3,9572.5,0
2025-05-25 15:16:00,9572.5,25250,25050,24450,24650,0.0,0.0,0.0,0.0,25850,23850,0.0,0.0,93.3,126.2,80.25,110.1,2,2,1,3,9572.5,0
2025-05-26 15:16:00,-3515.000000000001,25250,25050,24450,24650,101.95,185.4,94.6,85.7,25850,23850,82.9,94.6,93.3,126.2,80.25,110.1,2,2,1,3,9572.5,0
2025-05-27 15:16:00,4625.0,25250,25050,24450,24650,101.3,107.45,60.5,91.1,25850,23850,107.15,60.3,93.3,126.2,80.25,110.1,2,2,1,3,9572.5,0
2025-06-20 15:16:00,0.0,25500,25300,24700,24900,32.15,68.5,53.5,84.4,26100,24100,32.15,57.75,32.15,68.5,53.5,84.4,2,2,1,3,9662.5,0
2025-06-21 15:16:00,9662.5,25500,25300,24700,24900,0.0,0.0,0.0,0.0,26100,24100,0.0,0.0,32.15,68.5,53.5,84.4,2,2,1,3,9662.5,0
2025-06-22 15:16:00,9662.5,25500,25300,24700,24900,0.0,0.0,0.0,0.0,26100,24100,0.0,0.0,32.15,68.5,53.5,84.4,2,2,1,3,9662.5,0
2025-06-23 15:16:00,3997.5,25500,25300,24700,24900,33.9,24.8,50.4,98.2,26100,24100,33.9,51.8,32.15,68.5,53.5,84.4,2,2,1,3,9662.5,0
2025-06-24 15:16:00,3407.500000000001,25500,25300,24700,24900,25.1,29.95,21.85,56.0,26100,24100,21.05,21.85,32.15,68.5,53.5,84.4,2,2,1,3,9662.5,0
2025-07-25 15:16:00,0.0,25250,25050,24450,24650,31.55,50.45,27.8,47.45,25850,23850,31.85,27.8,31.55,50.45,27.8,47.45,2,2,1,3,5752.5,0
2025-07-26 15:16:00,5752.5,25250,25050,24450,24650,0.0,0.0,0.0,0.0,25850,23850,0.0,0.0,31.55,50.45,27.8,47.45,2,2,1,3,5752.5,0
