entry_time,exit_time,exit_reason,expiry,entry_spot,realized_pnl,deployed_capital,long_call,short_call,long_put,short_put
2024-11-22 15:15:00,2024-11-26 15:15:00,EXPIRY,2024-11-26,23873.5,0.0,500000.0,24200.0,24400.0,23600.0,23400.0
2024-12-27 15:15:00,2024-12-31 15:15:00,EXPIRY,2024-12-31,23832.45,0.0,500000.0,24100.0,24300.0,23500.0,23300.0
2025-01-24 15:15:00,2025-01-28 15:15:00,EXPIRY,2025-01-28,23090.35,0.0,500000.0,23400.0,23600.0,22800.0,22600.0
2025-02-21 15:15:00,2025-02-25 15:15:00,EXPIRY,2025-02-25,22764.35,0.0,500000.0,23100.0,23300.0,22500.0,22300.0
2025-03-21 15:15:00,2025-03-25 15:15:00,EXPIRY,2025-03-25,23355.65,0.0,500000.0,23700.0,23900.0,23100.0,22900.0
2025-04-25 15:15:00,2025-04-29 15:15:00,EXPIRY,2025-04-29,23991.65,0.0,500000.0,24300.0,24500.0,23700.0,23500.0
2025-05-23 15:15:00,2025-05-27 15:15:00,EXPIRY,2025-05-27,24845.15,0.0,500000.0,25100.0,25300.0,24500.0,24300.0
2025-06-20 15:15:00,2025-06-24 15:15:00,EXPIRY,2025-06-24,25079.75,0.0,500000.0,25400.0,25600.0,24800.0,24600.0
2025-07-25 15:15:00,2025-07-29 15:15:00,EXPIRY,2025-07-29,24832.2,0.0,500000.0,25100.0,25300.0,24500.0,24300.0
2025-08-22 15:15:00,2025-08-26 15:15:00,EXPIRY,2025-08-26,24869.45,0.0,500000.0,25200.0,25400.0,24600.0,24400.0
2025-09-26 15:15:00,2025-09-30 15:15:00,EXPIRY,2025-09-30,24673.1,0.0,500000.0,25000.0,25200.0,24400.0,24200.0
2025-10-24 15:15:00,2025-10-28 15:15:00,EXPIRY,2025-10-28,25797.45,0.0,500000.0,26100.0,26300.0,25500.0,25300.0
