entry_time,exit_time,exit_reason,expiry,entry_spot,realized_pnl,deployed_capital,long_call,short_call,long_put,short_put,hedge_call,hedge_put,hedge_call_qty,hedge_put_qty,net_credit,shift_points
2024-11-22 15:16:00,2024-11-23 15:16:00,TARGET_HIT,2024-11-26,23873.5,11052.5,1000000.0,24250,24050,23450,23650,24850,22850,2,2,11052.5,0
2024-12-27 15:16:00,2024-12-28 15:16:00,TARGET_HIT,2024-12-31,23832.45,12217.5,1000000.0,24250,24050,23450,23650,24850,22850,2,2,12217.5,0
2025-01-24 15:16:00,2025-01-25 15:16:00,TARGET_HIT,2025-01-28,23090.35,9372.5,1000000.0,23500,23300,22700,22900,24100,22100,2,2,9372.5,0
2025-02-21 15:16:00,2025-02-22 15:16:00,TARGET_HIT,2025-02-25,22764.35,6682.5,1000000.0,23150,22950,22350,22550,23750,21750,2,2,6682.5,0
2025-03-21 15:16:00,2025-03-22 15:16:00,TARGET_HIT,2025-03-25,23355.65,5805.0,1000000.0,23750,23550,22950,23150,24350,22350,2,2,5805.0,0
2025-04-25 15:16:00,2025-04-26 15:16:00,TARGET_HIT,2025-04-29,23991.65,5699.999999999999,1000000.0,24400,24200,23600,23800,25000,23000,2,2,5699.999999999999,0
2025-05-23 15:16:00,2025-05-24 15:16:00,TARGET_HIT,2025-05-27,24845.15,9572.5,1000000.0,25250,25050,24450,24650,25850,23850,2,2,9572.5,0
2025-06-20 15:16:00,2025-06-21 15:16:00,TARGET_HIT,2025-06-24,25079.75,9662.5,1000000.0,25500,25300,24700,24900,26100,24100,2,2,9662.5,0
2025-07-25 15:16:00,2025-07-26 15:16:00,TARGET_HIT,2025-07-29,24832.2,5752.5,1000000.0,25250,25050,24450,24650,25850,23850,2,2,5752.5,0
2025-08-22 15:16:00,2025-08-23 15:16:00,TARGET_HIT,2025-08-26,24869.45,7250.0,1000000.0,25250,25050,24450,24650,25850,23850,2,2,7250.0,0
2025-09-26 15:16:00,2025-09-27 15:16:00,TARGET_HIT,2025-09-30,24673.1,3667.5,1000000.0,25050,24850,24250,24450,25650,23650,2,2,3667.5,0
2025-10-24 15:16:00,2025-10-25 15:16:00,TARGET_HIT,2025-10-28,25797.45,3082.5,1000000.0,26200,26000,25400,25600,26800,24800,2,2,3082.5,0
