timestamp,action,side,call_strike,put_strike,call_ltp,put_ltp,notes,reason,realized,structure,cost,spot
2025-09-01 09:20:00+05:30,OPEN,SHORT_CALL,24500.0,24500.0,380.85,0.0,auto-entry|regime=trend_down,,,,,
2025-09-01 10:50:00+05:30,CLOSE,,,,364.55,236.75,,max_hold,815.0,SHORT_CALL,,
2025-09-01 10:53:00+05:30,OPEN,SHORT_CALL,24550.0,24550.0,360.55,0.0,auto-entry|regime=trend_down,,,,,
2025-09-01 12:23:00+05:30,CLOSE,,,,371.4,229.5,,max_hold,-542.5,SHORT_CALL,,
2025-09-02 09:20:00+05:30,OPEN,SHORT_CALL,24650.0,24650.0,346.9,0.0,auto-entry|regime=trend_down,,,,,
2025-09-02 10:04:00+05:30,HEDGE,,,,,,,spot_drift,,,250.0,24746.05
2025-09-02 10:50:00+05:30,CLOSE,,,,330.65,233.45,,max_hold,812.5,SHORT_CALL,,
2025-09-02 11:21:00+05:30,OPEN,SHORT_CALL,24700.0,24700.0,361.45,0.0,auto-entry|regime=trend_down,,,,,
2025-09-02 11:27:00+05:30,CLOSE,,,,360.8,214.1,,trail,32.5,SHORT_CALL,,
2025-09-02 11:29:00+05:30,OPEN,SHORT_CALL,24700.0,24700.0,361.85,0.0,auto-entry|regime=trend_down,,,,,
2025-09-02 12:11:00+05:30,CLOSE,,,,362.3,213.0,,trail,-22.5,SHORT_CALL,,
2025-09-03 09:32:00+05:30,OPEN,SHORT_CALL,24550.0,24550.0,349.9,0.0,auto-entry|regime=trend_down,,,,,
2025-09-03 11:02:00+05:30,CLOSE,,,,345.55,217.8,,max_hold,217.5,SHORT_CALL,,
2025-09-03 11:04:00+05:30,OPEN,SHORT_CALL,24550.0,24550.0,344.05,0.0,auto-entry|regime=trend_down,,,,,
2025-09-03 12:34:00+05:30,CLOSE,,,,334.5,223.5,,max_hold,477.5,SHORT_CALL,,
2025-09-03 12:48:00+05:30,OPEN,SHORT_CALL,24600.0,24600.0,342.85,0.0,auto-entry|regime=trend_down,,,,,
2025-09-03 14:18:00+05:30,CLOSE,,,,337.3,218.0,,max_hold,277.5,SHORT_CALL,,
