date,weekday,entry_attempted,entry_outcome,entry_block_reason,spot_open,spot_close,combined_premium_pct,iv_rank,iv_skew,oi_skew,volume_skew,call_oi_max_strike,put_oi_max_strike,spot_return_1,spot_return_3,spot_return_5,spot_trend_20,spot_trend_50,spot_trend_100,spot_volatility,spot_intraday_range_pct,call_oi_change,put_oi_change,events,event_count,event_tags,has_position,structure,entry_date,target_expiry,target_days_remaining,current_pnl,best_pnl,close_reason,close_pnl,ml_exit_prob,ml_exit_decision
2024-11-11,0,True,OPENED,,24014.6,24122.1,0.0244622021603524,1.0,-0.038938686903226,-0.34963279806987,-0.2747899159663866,24000,24000,-0.0001678676456874,-0.0002631747998732,-0.000553128282257,-0.0006308681524104,-0.0010202533565732,-0.0014189394554725,0.0002055800747237,0.0130344097732387,366275.0,607025.0,[],0,,True,STRANGLE,2024-11-11T09:15:00+05:30,2024-11-19T00:00:00,8.0,5815.000000000015,5815.000000000015,,,3.6166105058321194e-06,HOLD
2024-11-12,1,False,,,24235.0,23842.95,0.0205673612543841,0.0,-0.14152869270996,-0.0148573907385316,0.6595744680851063,24250,24250,-0.0005177046610186,-0.0008569608689458,-0.0011060209012813,-0.0012532553570707,-0.0023313872145932,-0.0034985814012056,0.0003146940058516,0.0161770167113678,0.0,0.0,[],0,,False,STRANGLE,2024-11-11T09:15:00+05:30,2024-11-19T00:00:00,7.0,,,target_hit,7360.000000000015,0.423388980787186,HOLD
2024-11-13,2,True,,iv_rank_band,23838.85,23602.9,0.0210161144518296,0.0,-0.0801700745855961,-0.3806530737390771,-0.891156462585034,23950,23850,1.694735727153507e-05,-0.000516618604198,-3.6011227029564274e-05,0.0007308498222296,0.0009999834013282,0.0002214633373499,0.0002819713681966,0.0147266487603132,0.0,0.0,[],0,,False,,,,,,,,,,
2024-11-14,3,True,OPENED,,23599.75,23559.6,0.0221167597114376,0.748362481718938,-0.0131446252364326,-0.3096571171686624,-0.0947237224761113,23800,23500,0.000360917324456,0.0004841134354216,0.0005393491287599,0.0006495902954077,0.0009209632609152,0.0009768224607771,0.0002659510108353,0.00734747181039,0.0,0.0,[],0,,False,STRANGLE,2024-11-14T09:15:00+05:30,2024-11-26T00:00:00,12.0,,,hard_exit,5305.000000000007,3.6166105058321194e-06,HOLD
2024-11-18,0,True,OPENED,,23587.75,23465.3,0.0196712276499454,0.3850313856715743,-0.06369877996919,-0.1527452780183837,-0.0168821292775665,23500,23500,2.1308104536377215e-06,0.0002621578360681,0.0006865905873121,0.0003443339299398,0.0004299456207736,0.000284356382956,0.0002927450666985,0.0099373615541966,0.0,0.0,[],0,,True,STRANGLE,2024-11-18T09:15:00+05:30,2024-11-26T00:00:00,8.0,3715.0,3715.0,,,0.1215118974738146,HOLD
2024-11-19,1,False,,,23551.1,23468.7,0.0169121612153997,0.6144562554247416,-0.0134394303919333,-0.1354003549431047,-0.0043352601156069,23750,23550,-0.0001853189082798,-0.0010173416309815,-0.0014976237986036,-0.0015366481594329,-0.0038832574182713,-0.0063526174742855,0.0004720815491173,0.0129912186259335,0.0,0.0,[],0,,False,STRANGLE,2024-11-18T09:15:00+05:30,2024-11-26T00:00:00,7.0,,,trailing_lock,1860.0,3.6166105058321134e-06,HOLD
2024-11-21,3,True,OPENED,,23446.75,23346.75,0.0183671510977001,0.1230414308514125,-0.2244545264789242,-0.286666226825889,-0.2019464720194647,23750,23550,-2.9981860974137575e-05,-0.0003446828917396,-0.0003489631726105,-0.000250899348884,-5.9938617089018056e-05,7.320888243412846e-05,0.0002189467299559,0.0077132225148474,0.0,0.0,[],0,,False,STRANGLE,2024-11-21T09:15:00+05:30,2024-12-03T00:00:00,12.0,,,hard_exit,4345.0,3.6166105058321194e-06,HOLD
2024-11-22,4,False,,,23399.65,23873.5,0.0156433963755868,0.2965136467218789,-0.0327594604678826,-0.0601778697001034,0.0630122042680848,23500,23500,-0.0002282344910475,-0.0003914943149581,-0.0010251903925014,-0.0006691167181813,-0.0006359707890862,0.0007286264785465,0.0005726354072906,0.0229362873946456,-3245650.0,-2166650.0,[],0,,False,,,,,,,,,,
2024-11-25,0,True,,premium_lt_min,24288.7,24250.8,0.014302947461165,0.8878797587957044,-0.0256245222146006,0.4979459097774694,0.4678289000718907,24500,24000,2.0617919032073218e-06,0.000129909496384,2.6803957913656973e-05,0.0004478041092817,0.0008435029528015,0.0010884582687502,0.0002671513617703,0.008620087802514,0.0,0.0,[],0,,False,,,,,,,,,,
2024-11-26,1,True,,premium_lt_min,24286.8,24192.95,0.0108536324258444,0.4419465772154943,-0.0851486629691381,0.0952575527382274,0.0718127964774506,24500,24300,0.0001881066957714,-3.0999805734510666e-05,-2.0666750711439977e-05,-5.2093289247838555e-05,-0.0001736051073633,-5.04492749757664e-05,0.0002396654704292,0.0081880813589132,0.0,0.0,[],0,,False,,,,,,,,,,
2024-11-27,2,True,,premium_lt_min,24164.05,24277.35,0.0087423258932174,1.0,0.1185527941085599,-0.226577381701617,-0.4742092689918777,24250,24150,5.561047948576814e-05,-6.590070822676264e-05,4.531177591271529e-05,4.122780503104978e-05,-0.0001457901733198,-0.0003666781827236,0.0001510444461446,0.0082272334361993,0.0,0.0,[],0,,False,,,,,,,,,,
2024-11-28,3,True,,premium_lt_min,24300.7,23957.45,0.0058208199763792,0.1627283619264982,0.0962812289708119,0.0698785125489218,0.0273571225688786,24500,24000,0.0,0.0003298600600012,3.339365061472144e-05,0.000784683309738,0.0009873394918239,0.0003829975495684,0.0001984334401683,0.0189899288673621,0.0,0.0,[],0,,False,,,,,,,,,,
2024-11-29,4,False,,,23959.35,24123.65,0.0321210717319125,1.0,0.0134363138783311,0.0571161048689138,-0.6261682242990654,24250,24250,0.0003566237681449,0.0002073084521729,0.0001015704027991,-0.0001094604000752,-0.0003871826265134,-0.0004174120783914,0.0003179125931443,0.0099000281145087,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-02,0,True,OPENED,,24048.4,24275.25,0.0291204404451023,0.5864827359802544,0.0250641730065462,-0.0852739726027397,0.3,24150,24250,0.0001792269755138,0.0001689248346286,1.0298661174079626e-05,8.978530557507175e-05,0.0001732070975407,0.0008344554086607,0.0001860975611739,0.0118808784524816,862725.0,872900.0,[],0,,True,STRANGLE,2024-12-02T09:15:00+05:30,2024-12-10T00:00:00,8.0,530.0,530.0,,,3.6166105058321194e-06,HOLD
2024-12-05,3,False,,,24499.95,24701.55,0.0271286267931159,0.4349362043807306,-0.091636624907247,-0.1093244298446377,-0.0292517006802721,24500,24500,-0.0002084454823996,-0.0011342682453415,-0.0016691690730857,-0.0007936411982184,-0.0005533400009386,5.4402929705633394e-05,0.0003956995308442,0.021112123827747,0.0,0.0,[],0,,False,STRANGLE,2024-12-02T09:15:00+05:30,2024-12-10T00:00:00,5.0,,,hard_exit,5514.999999999993,0.423388980787186,HOLD
2024-12-06,4,False,,,24693.55,24669.0,0.0270171765501517,0.6846556329753672,-0.0736544868681442,0.2367887391148753,-0.1035981646945182,25000,24500,-1.4187645803298564e-05,-0.0001560419651559,9.527033464196144e-05,-0.0002207773870676,-0.00036573556079,-0.0005190605590977,0.0001974496837905,0.0046158945215555,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-09,0,True,OPENED,,24649.9,24626.6,0.0249838741739317,0.8268726831138947,-0.0487642733815768,-0.2472120472120472,-0.1785714285714285,24750,24650,-9.3386225125891e-05,-0.0002537262233156,8.934227839052511e-05,0.0001209181444295,0.0001891381849391,0.0001079728599476,0.0001308577942538,0.0049508357318372,0.0,0.0,[],0,,True,STRANGLE,2024-12-09T09:15:00+05:30,2024-12-17T00:00:00,8.0,1950.0,1950.0,,,3.6166105058321194e-06,HOLD
2024-12-10,1,False,,,24630.9,24620.5,0.0243840054565606,0.8269752721991189,-0.0442183024727974,-0.3813913541368451,-0.0434782608695652,24750,24650,1.6246887705628765e-05,-8.731797755323623e-05,0.0001949975015944,0.0003253732308604,0.0011363912422419,0.00178003444817,0.0001668523187733,0.0064560578735131,0.0,0.0,[],0,,True,STRANGLE,2024-12-09T09:15:00+05:30,2024-12-17T00:00:00,7.0,3980.0000000000073,3980.0000000000073,,,3.6166105058321194e-06,HOLD
2024-12-11,2,False,,,24615.05,24629.5,0.0230367194054044,0.7270116357695351,-0.0577512814301723,-0.2043346288048566,-0.1244358478401031,24500,24500,-0.0002394927624476,-0.0004545325416891,-0.0004301930592813,-0.0004323965390811,-0.0004757974574969,-0.0005819269476387,0.0001126572795433,0.0039774879045079,0.0,0.0,[],0,,False,STRANGLE,2024-12-09T09:15:00+05:30,2024-12-17T00:00:00,6.0,,,target_hit,10675.0,3.6166105058321194e-06,HOLD
2024-12-12,3,True,OPENED,,24626.15,24539.5,0.0200680983426154,0.4303244845311335,-0.0026030173035663,-0.1711851278079008,-0.1596638655462184,24750,24650,-0.0002403709045279,-0.0007207662111315,-0.0003910530324939,-0.0004746827645462,-0.0004675684067624,-0.0005964270650115,0.0001683506510233,0.0057149573810093,0.0,0.0,[],0,,False,STRANGLE,2024-12-12T09:15:00+05:30,2024-12-24T00:00:00,12.0,,,hard_exit,-764.9999999999927,3.6166105058321194e-06,HOLD
2024-12-13,4,False,,,24517.05,24781.3,0.0204837041976909,0.5396705719251044,-0.082417197501542,-0.2773374971766392,-0.3943086795877358,24500,24500,1.0088353802562011e-05,-0.0001795386461979,-0.0003529641932953,0.0002100441628809,0.0007861545275488,0.0018207193299928,0.000179081633,0.023957192502637,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-16,0,True,,iv_rank_band,24737.1,24648.25,0.0182519373734188,0.0,-0.0229921930965147,0.1235439855045668,-0.0109324758842443,24750,24650,-0.0001318378191996,-0.0003954091978262,-0.0006021140894696,-0.0005634672546612,-0.000719554211645,-0.0006666523212456,0.0001261984734568,0.0064483175624794,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-17,1,True,OPENED,,24579.05,24319.35,0.0196773268291492,0.2309612476402973,0.0215354286615579,-0.1486205386468141,-0.2095704814067454,24500,24500,0.0,-0.0003432301450611,-0.0003658298480162,-0.0003974525181466,-0.0005480377276132,-0.0008719153052433,0.0001483996818967,0.0124088228782213,0.0,0.0,[],0,,True,STRANGLE,2024-12-17T09:15:00+05:30,2024-12-24T00:00:00,7.0,1360.0,1360.0,,,3.6166105058321194e-06,HOLD
2024-12-18,2,False,,,24311.7,24214.7,0.0192849533352254,0.704654930128045,-0.0003928984012779,-0.2084960037900388,-0.2358119064164929,24500,24000,0.0003201559882595,0.0001280378000627,8.879692556140739e-05,0.0003824134040252,0.0006756681432738,0.0007479461565797,0.0001688040615459,0.0096398682975032,0.0,0.0,[],0,,False,STRANGLE,2024-12-17T09:15:00+05:30,2024-12-24T00:00:00,6.0,,,target_hit,6990.0,3.6166105058321194e-06,HOLD
2024-12-19,3,True,,gap_guard,23954.65,23961.95,0.0187061802197068,0.7317124889043506,-0.0266619519137449,-0.7388609599889815,-0.431697310439143,24250,24250,0.0,0.0002087077027752,0.0003402382920456,0.000334535050753,0.0004042664366564,0.0003657244721483,0.0001729367066037,0.0046214880441394,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-20,4,False,,,23927.45,23631.35,0.0176429163993655,0.742278574128753,-0.0413727369667928,-0.1176494307719189,-0.1485915134226478,23950,23950,0.0007686378805074,0.0010526761696989,0.0014493275671001,0.0012765076567427,0.0004907526402718,-0.0010335717576169,0.0005522270096183,0.02150752181305,-798675.0,-2244400.0,[],0,,False,,,,,,,,,,
2024-12-23,0,True,,premium_lt_min,23758.95,23747.2,0.0137190406141685,1.0,0.0178751100650707,0.2570114061152113,0.1293839572548562,23750,23750,-0.0002483886313785,-0.0006081227524182,-0.0006312546818055,-0.0004129188956736,-7.17378039439571e-05,0.0003838469269423,0.0001919326499277,0.0090675963327355,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-24,1,True,,premium_lt_min,23761.15,23730.35,0.006981985299533,0.1773767174604297,-0.0774846354577982,-0.0443233220913319,-0.1017488501444004,23950,23750,-0.0006359113009019,-0.0006506413765803,-0.0003138454279671,-0.0002187612126414,-0.0001397417288104,-0.0004249796677642,0.0002025583692017,0.006360925979857,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-27,4,False,,,23819.5,23832.45,0.034740443754067,0.8361788463636417,-0.0907009643578812,-0.1248610489540775,-0.0433212996389891,24000,24000,0.0001133037484657,-0.0001929768994065,7.763128079041337e-05,0.000490304723997,0.0004400212231321,0.000127637228804,0.0002710017001533,0.005362865654679,0.0,0.0,[],0,,False,,,,,,,,,,
2024-12-30,0,True,OPENED,,23782.65,23658.65,0.0318782810157825,0.3684869013200561,-0.0663785649977306,-0.166680994956442,-0.3864975079293158,24000,24000,-0.0001204488303784,3.59289536644436e-05,4.2268017270696845e-06,0.0002987418049571,0.000207709530266,-0.0003952745036427,0.000491960368289,0.0126279420930007,0.0,0.0,[],0,,True,STRANGLE,2024-12-30T09:15:00+05:30,2025-01-07T00:00:00,8.0,-1355.0,0.0,,,3.6166105058321134e-06,HOLD
2024-12-31,1,False,,,23551.35,23668.8,0.0326456869776042,0.3272430763013947,-0.0759595706218378,-0.4290056448111159,-0.6847290640394089,23750,23850,0.000422675706291,0.0004713063216337,0.0008245487181439,0.0007204579520638,0.0008763489961769,0.0010968978880049,0.0002471044355699,0.0095009519949676,0.0,0.0,[],0,,True,STRANGLE,2024-12-30T09:15:00+05:30,2025-01-07T00:00:00,7.0,-1275.0,0.0,,,3.6166105058321194e-06,HOLD
2025-01-01,2,False,,,23649.55,23758.7,0.0324847618665048,0.241403959675329,-0.0889197967007765,-0.3215458449103309,-0.3074204946996466,23750,23650,-0.000164123454504,-0.0003029550742871,3.998695162632515e-05,0.0002466915423424,0.0002075915805132,8.535318107064748e-05,0.0001844392385387,0.0105333422895429,0.0,0.0,[],0,,True,STRANGLE,2024-12-30T09:15:00+05:30,2025-01-07T00:00:00,6.0,-1985.0,0.0,,,3.6166105058321194e-06,HOLD
2025-01-02,3,False,,,23787.6,24167.95,0.0317371235433587,0.8091001344123359,-0.086765749788707,-0.0667635182771807,-0.4304470146920913,24000,24000,-4.5512752880227936e-05,-0.0003970625642382,-0.0005851435565975,-0.000591664093574,-0.0005972063449538,0.0001340780437877,0.0001239512684273,0.0190038412239075,0.0,0.0,[],0,,False,STRANGLE,2024-12-30T09:15:00+05:30,2025-01-07T00:00:00,5.0,,,hard_exit,3360.0,3.6166105058321194e-06,HOLD
2025-01-03,4,False,,,24152.65,23990.15,0.0297027448333826,0.5230042698704416,-0.1481583167971007,0.0746930927377606,-0.5276381909547738,24450,23850,0.0002188877168551,0.0001813573030711,-0.0002187919351208,-0.0003910746571329,-0.000963807035944,-0.0016399355689456,0.0002209671613379,0.0083083648153777,0.0,0.0,[],0,,False,,,,,,,,,,
